STN_ID,LAT,LONG,ELEV,STATE,NAME,Loc
USC00198030,42.45,-71.0833,52.1,MA,SPOT POND,NORTH
USC00198218,42.3667,-71.2667,17.7,MA,STONY BROOK,NORTH
USC00198755,42.1667,-71.2333,52.1,MA,WALPOLE,SOUTH
USC00198757,42.1608,-71.2461,51.8,MA,WALPOLE 2,SOUTH
USC00198760,42.1333,-71.25,61,MA,WALPOLE 1 SSE,SOUTH
USC00198960,42.2833,-71.3333,48.8,MA,WELLESLEY,SOUTH
USW00014702,42.47,-71.2894,40.5,MA,BEDFORD HANSCOM FLD,NORTH
USW00014739,42.3606,-71.0106,3.7,MA,BOSTON LOGAN INTL AP,NORTH
USW00014753,42.2122,-71.1136,190.5,MA,BLUE HILL,SOUTH
USW00014789,42.2667,-71.0333,4.9,MA,SQUANTUM NAS,SOUTH
USW00054704,42.1908,-71.1736,15.2,MA,NORWOOD MEM AP,SOUTH
USW00094701,42.35,-71.0667,6.1,MA,BOSTON CITY WSO,SOUTH
