STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN,DATE_conv
USW00014739,"BOSTON, MA US",2/18/2020,0.45,37.0,42,31,2020-02-18
USW00014739,"BOSTON, MA US",2/19/2020,0.0,43.0,46,32,2020-02-19
USW00014739,"BOSTON, MA US",2/20/2020,0.0,32.0,37,24,2020-02-20
USW00014739,"BOSTON, MA US",2/21/2020,0.0,26.0,33,17,2020-02-21
USW00014739,"BOSTON, MA US",2/22/2020,0.0,36.0,49,29,2020-02-22
USW00014739,"BOSTON, MA US",2/23/2020,0.0,44.0,58,34,2020-02-23
USW00014739,"BOSTON, MA US",2/24/2020,0.0,48.0,64,35,2020-02-24
USW00014739,"BOSTON, MA US",2/25/2020,0.26,47.0,53,43,2020-02-25
USW00014739,"BOSTON, MA US",2/26/2020,0.15,46.0,48,44,2020-02-26
USW00014739,"BOSTON, MA US",2/27/2020,0.75,45.0,55,33,2020-02-27
USW00014739,"BOSTON, MA US",2/28/2020,0.0,34.0,38,28,2020-02-28
USW00014739,"BOSTON, MA US",2/29/2020,0.0,31.0,35,22,2020-02-29
USW00014739,"BOSTON, MA US",3/1/2020,0.0,25.0,33,19,2020-03-01
USW00014739,"BOSTON, MA US",3/2/2020,0.0,35.0,52,23,2020-03-02
USW00014739,"BOSTON, MA US",3/3/2020,0.03,50.0,59,46,2020-03-03
USW00014739,"BOSTON, MA US",3/4/2020,0.03,47.0,50,41,2020-03-04
USW00014739,"BOSTON, MA US",3/5/2020,0.0,44.0,51,37,2020-03-05
USW00014739,"BOSTON, MA US",3/6/2020,0.0,39.0,44,32,2020-03-06
USW00014739,"BOSTON, MA US",3/7/2020,0.0,36.0,45,29,2020-03-07
USW00014739,"BOSTON, MA US",3/8/2020,0.0,40.0,53,31,2020-03-08
USW00014739,"BOSTON, MA US",3/9/2020,0.0,55.0,72,42,2020-03-09
USW00014739,"BOSTON, MA US",3/10/2020,0.0,52.0,66,40,2020-03-10
USW00014739,"BOSTON, MA US",3/11/2020,0.0,50.0,59,37,2020-03-11
USW00014739,"BOSTON, MA US",3/12/2020,0.0,40.0,43,34,2020-03-12
USW00014739,"BOSTON, MA US",3/13/2020,0.29,46.0,62,40,2020-03-13
USW00014739,"BOSTON, MA US",3/14/2020,0.0,46.0,53,38,2020-03-14
USW00014739,"BOSTON, MA US",3/15/2020,0.0,40.0,43,30,2020-03-15
USW00014739,"BOSTON, MA US",3/16/2020,0.0,32.0,35,24,2020-03-16
USW00014739,"BOSTON, MA US",3/17/2020,0.03,36.0,45,31,2020-03-17
USW00014739,"BOSTON, MA US",3/18/2020,0.0,43.0,51,37,2020-03-18
USW00014739,"BOSTON, MA US",3/19/2020,0.56,41.0,42,39,2020-03-19
USW00014739,"BOSTON, MA US",3/20/2020,0.02,48.0,68,38,2020-03-20
USW00014739,"BOSTON, MA US",3/21/2020,0.0,49.0,57,31,2020-03-21
USW00014739,"BOSTON, MA US",3/22/2020,0.0,31.0,33,25,2020-03-22
USW00014739,"BOSTON, MA US",3/23/2020,1.38,33.0,41,28,2020-03-23
USW00014739,"BOSTON, MA US",3/24/2020,0.35,40.0,49,34,2020-03-24
USW00014739,"BOSTON, MA US",3/25/2020,0.0,40.0,43,37,2020-03-25
USW00014739,"BOSTON, MA US",3/26/2020,0.0,39.0,46,32,2020-03-26
USW00014739,"BOSTON, MA US",3/27/2020,0.01,51.0,61,43,2020-03-27
USW00014739,"BOSTON, MA US",3/28/2020,0.08,45.0,48,36,2020-03-28
USW00014739,"BOSTON, MA US",3/29/2020,0.74,42.0,43,39,2020-03-29
USW00014739,"BOSTON, MA US",3/30/2020,0.08,40.0,43,37,2020-03-30
USW00014739,"BOSTON, MA US",3/31/2020,0.0,36.0,40,33,2020-03-31
USW00014739,"BOSTON, MA US",4/1/2020,0.0,36.0,43,31,2020-04-01
USW00014739,"BOSTON, MA US",4/2/2020,0.13,42.0,47,39,2020-04-02
USW00014739,"BOSTON, MA US",4/3/2020,0.83,43.0,45,41,2020-04-03
USW00014739,"BOSTON, MA US",4/4/2020,0.04,41.0,44,39,2020-04-04
USW00014739,"BOSTON, MA US",4/5/2020,0.0,43.0,54,39,2020-04-05
USW00014739,"BOSTON, MA US",4/6/2020,0.0,50.0,62,44,2020-04-06
USW00014739,"BOSTON, MA US",4/7/2020,0.0,52.0,62,46,2020-04-07
USW00014739,"BOSTON, MA US",4/8/2020,0.07,46.0,48,42,2020-04-08
USW00014739,"BOSTON, MA US",4/9/2020,0.64,44.0,48,41,2020-04-09
USW00014739,"BOSTON, MA US",4/10/2020,0.01,43.0,48,38,2020-04-10
USW00014739,"BOSTON, MA US",4/11/2020,0.0,44.0,52,37,2020-04-11
USW00014739,"BOSTON, MA US",4/12/2020,0.0,47.0,60,35,2020-04-12
USW00014739,"BOSTON, MA US",4/13/2020,0.56,55.0,60,51,2020-04-13
USW00014739,"BOSTON, MA US",4/14/2020,0.0,53.0,58,45,2020-04-14
USW00014739,"BOSTON, MA US",4/15/2020,0.0,47.0,53,38,2020-04-15
USW00014739,"BOSTON, MA US",4/16/2020,0.0,42.0,47,34,2020-04-16
USW00014739,"BOSTON, MA US",4/17/2020,0.01,41.0,49,34,2020-04-17
USW00014739,"BOSTON, MA US",4/18/2020,0.67,38.0,41,32,2020-04-18
USW00014739,"BOSTON, MA US",4/19/2020,0.0,46.0,61,37,2020-04-19
USW00014739,"BOSTON, MA US",4/20/2020,0.0,48.0,51,38,2020-04-20
USW00014739,"BOSTON, MA US",4/21/2020,0.33,43.0,54,34,2020-04-21
USW00014739,"BOSTON, MA US",4/22/2020,0.0,39.0,44,34,2020-04-22
USW00014739,"BOSTON, MA US",4/23/2020,0.0,42.0,55,34,2020-04-23
USW00014739,"BOSTON, MA US",4/24/2020,0.21,44.0,45,39,2020-04-24
USW00014739,"BOSTON, MA US",4/25/2020,0.0,45.0,53,37,2020-04-25
USW00014739,"BOSTON, MA US",4/26/2020,0.22,45.0,47,41,2020-04-26
USW00014739,"BOSTON, MA US",4/27/2020,0.6,41.0,42,37,2020-04-27
USW00014739,"BOSTON, MA US",4/28/2020,0.01,40.0,44,38,2020-04-28
USW00014739,"BOSTON, MA US",4/29/2020,0.0,44.0,49,38,2020-04-29
USW00014739,"BOSTON, MA US",4/30/2020,0.0,45.0,50,44,2020-04-30
USW00014739,"BOSTON, MA US",5/1/2020,0.79,52.0,62,48,2020-05-01
USW00014739,"BOSTON, MA US",5/2/2020,0.01,57.0,70,46,2020-05-02
USW00014739,"BOSTON, MA US",5/3/2020,0.0,64.0,78,53,2020-05-03
USW00014739,"BOSTON, MA US",5/4/2020,0.0,63.0,70,48,2020-05-04
USW00014739,"BOSTON, MA US",5/5/2020,0.0,51.0,58,44,2020-05-05
USW00014739,"BOSTON, MA US",5/6/2020,0.01,47.0,51,41,2020-05-06
USW00014739,"BOSTON, MA US",5/7/2020,0.0,51.0,64,42,2020-05-07
USW00014739,"BOSTON, MA US",5/8/2020,0.25,52.0,57,43,2020-05-08
USW00014739,"BOSTON, MA US",5/9/2020,0.12,41.0,44,36,2020-05-09
USW00014739,"BOSTON, MA US",5/10/2020,0.0,44.0,60,34,2020-05-10
USW00014739,"BOSTON, MA US",5/11/2020,0.23,52.0,62,44,2020-05-11
USW00014739,"BOSTON, MA US",5/12/2020,0.0,48.0,56,41,2020-05-12
USW00014739,"BOSTON, MA US",5/13/2020,0.0,48.0,60,37,2020-05-13
USW00014739,"BOSTON, MA US",5/14/2020,0.0,57.0,69,45,2020-05-14
USW00014739,"BOSTON, MA US",5/15/2020,0.67,60.0,74,51,2020-05-15
USW00014739,"BOSTON, MA US",5/16/2020,0.04,63.0,68,49,2020-05-16
USW00014739,"BOSTON, MA US",5/17/2020,0.0,54.0,63,49,2020-05-17
USW00014739,"BOSTON, MA US",5/18/2020,0.0,54.0,58,47,2020-05-18
USW00014739,"BOSTON, MA US",5/19/2020,0.0,51.0,55,47,2020-05-19
USW00014739,"BOSTON, MA US",5/20/2020,0.0,51.0,58,45,2020-05-20
USW00014739,"BOSTON, MA US",5/21/2020,0.0,58.0,77,45,2020-05-21
USW00014739,"BOSTON, MA US",5/22/2020,0.0,67.0,82,54,2020-05-22
USW00014739,"BOSTON, MA US",5/23/2020,0.0,62.0,72,47,2020-05-23
USW00014739,"BOSTON, MA US",5/24/2020,0.0,50.0,54,44,2020-05-24
USW00014739,"BOSTON, MA US",5/25/2020,0.0,50.0,55,48,2020-05-25
USW00014739,"BOSTON, MA US",5/26/2020,0.0,56.0,70,50,2020-05-26
USW00014739,"BOSTON, MA US",5/27/2020,0.0,70.0,83,60,2020-05-27
USW00014739,"BOSTON, MA US",5/28/2020,0.0,71.0,78,64,2020-05-28
USW00014739,"BOSTON, MA US",5/29/2020,0.0,73.0,81,66,2020-05-29
USW00014739,"BOSTON, MA US",5/30/2020,0.09,73.0,80,65,2020-05-30
USW00014739,"BOSTON, MA US",5/31/2020,0.0,65.0,68,50,2020-05-31
USW00014739,"BOSTON, MA US",6/1/2020,0.0,56.0,64,47,2020-06-01
USW00014739,"BOSTON, MA US",6/2/2020,0.02,56.0,64,49,2020-06-02
USW00014739,"BOSTON, MA US",6/3/2020,0.01,65.0,80,55,2020-06-03
USW00014739,"BOSTON, MA US",6/4/2020,0.0,74.0,89,59,2020-06-04
USW00014739,"BOSTON, MA US",6/5/2020,0.16,72.0,81,64,2020-06-05
USW00014739,"BOSTON, MA US",6/6/2020,0.14,75.0,89,62,2020-06-06
USW00014739,"BOSTON, MA US",6/7/2020,0.0,62.0,65,57,2020-06-07
USW00014739,"BOSTON, MA US",6/8/2020,0.0,66.0,79,55,2020-06-08
USW00014739,"BOSTON, MA US",6/9/2020,0.0,67.0,80,60,2020-06-09
USW00014739,"BOSTON, MA US",6/10/2020,0.0,62.0,66,58,2020-06-10
USW00014739,"BOSTON, MA US",6/11/2020,0.74,67.0,76,62,2020-06-11
USW00014739,"BOSTON, MA US",6/12/2020,0.0,73.0,84,65,2020-06-12
USW00014739,"BOSTON, MA US",6/13/2020,0.0,66.0,68,57,2020-06-13
USW00014739,"BOSTON, MA US",6/14/2020,0.0,60.0,66,53,2020-06-14
USW00014739,"BOSTON, MA US",6/15/2020,0.0,59.0,65,55,2020-06-15
USW00014739,"BOSTON, MA US",6/16/2020,0.0,62.0,70,55,2020-06-16
USW00014739,"BOSTON, MA US",6/17/2020,0.0,64.0,73,56,2020-06-17
USW00014739,"BOSTON, MA US",6/18/2020,0.0,72.0,88,62,2020-06-18
USW00014739,"BOSTON, MA US",6/19/2020,0.0,77.0,87,68,2020-06-19
USW00014739,"BOSTON, MA US",6/20/2020,0.0,79.0,92,69,2020-06-20
USW00014739,"BOSTON, MA US",6/21/2020,0.0,78.0,87,67,2020-06-21
USW00014739,"BOSTON, MA US",6/22/2020,0.0,67.0,71,62,2020-06-22
USW00014739,"BOSTON, MA US",6/23/2020,0.0,72.0,88,63,2020-06-23
USW00014739,"BOSTON, MA US",6/24/2020,0.01,76.0,86,68,2020-06-24
USW00014739,"BOSTON, MA US",6/25/2020,0.0,77.0,86,69,2020-06-25
USW00014739,"BOSTON, MA US",6/26/2020,0.0,76.0,86,67,2020-06-26
USW00014739,"BOSTON, MA US",6/27/2020,0.02,74.0,83,65,2020-06-27
USW00014739,"BOSTON, MA US",6/28/2020,1.19,70.0,81,64,2020-06-28
USW00014739,"BOSTON, MA US",6/29/2020,0.19,67.0,73,63,2020-06-29
USW00014739,"BOSTON, MA US",6/30/2020,0.18,64.0,68,63,2020-06-30
USW00014739,"BOSTON, MA US",7/1/2020,0.07,66.0,72,63,2020-07-01
USW00014739,"BOSTON, MA US",7/2/2020,0.0,71.0,85,64,2020-07-02
USW00014739,"BOSTON, MA US",7/3/2020,0.0,72.0,77,62,2020-07-03
USW00014739,"BOSTON, MA US",7/4/2020,0.0,65.0,70,61,2020-07-04
USW00014739,"BOSTON, MA US",7/5/2020,0.11,69.0,79,64,2020-07-05
USW00014739,"BOSTON, MA US",7/6/2020,0.0,68.0,70,63,2020-07-06
USW00014739,"BOSTON, MA US",7/7/2020,0.0,68.0,80,62,2020-07-07
USW00014739,"BOSTON, MA US",7/8/2020,0.0,74.0,85,67,2020-07-08
USW00014739,"BOSTON, MA US",7/9/2020,0.0,78.0,86,72,2020-07-09
USW00014739,"BOSTON, MA US",7/10/2020,0.0,74.0,78,69,2020-07-10
USW00014739,"BOSTON, MA US",7/11/2020,0.01,77.0,89,69,2020-07-11
USW00014739,"BOSTON, MA US",7/12/2020,0.0,80.0,89,72,2020-07-12
USW00014739,"BOSTON, MA US",7/13/2020,0.07,78.0,85,69,2020-07-13
USW00014739,"BOSTON, MA US",7/14/2020,0.62,71.0,76,66,2020-07-14
USW00014739,"BOSTON, MA US",7/15/2020,0.07,66.0,70,62,2020-07-15
USW00014739,"BOSTON, MA US",7/16/2020,0.0,65.0,69,60,2020-07-16
USW00014739,"BOSTON, MA US",7/17/2020,0.11,64.0,74,59,2020-07-17
USW00014739,"BOSTON, MA US",7/18/2020,0.0,77.0,91,68,2020-07-18
USW00014739,"BOSTON, MA US",7/19/2020,0.0,82.0,95,70,2020-07-19
USW00014739,"BOSTON, MA US",7/20/2020,0.0,82.0,93,75,2020-07-20
USW00014739,"BOSTON, MA US",7/21/2020,0.0,83.0,90,74,2020-07-21
USW00014739,"BOSTON, MA US",7/22/2020,0.11,75.0,79,68,2020-07-22
USW00014739,"BOSTON, MA US",7/23/2020,0.57,76.0,89,68,2020-07-23
USW00014739,"BOSTON, MA US",7/24/2020,0.0,74.0,79,70,2020-07-24
USW00014739,"BOSTON, MA US",7/25/2020,0.0,76.0,84,68,2020-07-25
USW00014739,"BOSTON, MA US",7/26/2020,0.0,81.0,91,73,2020-07-26
USW00014739,"BOSTON, MA US",7/27/2020,0.0,86.0,95,75,2020-07-27
USW00014739,"BOSTON, MA US",7/28/2020,0.0,83.0,95,78,2020-07-28
USW00014739,"BOSTON, MA US",7/29/2020,0.0,80.0,87,73,2020-07-29
USW00014739,"BOSTON, MA US",7/30/2020,0.0,78.5,87,70,2020-07-30
USW00014739,"BOSTON, MA US",7/31/2020,0.0,72.5,77,68,2020-07-31
USW00014739,"BOSTON, MA US",8/1/2020,0.0,75.0,81,69,2020-08-01
USW00014739,"BOSTON, MA US",8/2/2020,0.07,78.5,87,70,2020-08-02
USW00014739,"BOSTON, MA US",8/3/2020,0.0,82.5,92,73,2020-08-03
USW00014739,"BOSTON, MA US",8/4/2020,0.17,74.5,79,70,2020-08-04
USW00014739,"BOSTON, MA US",8/5/2020,0.0,79.0,92,70,2020-08-05
USW00014739,"BOSTON, MA US",8/6/2020,0.0,77.0,84,68,2020-08-06
USW00014739,"BOSTON, MA US",8/7/2020,0.0,71.0,76,65,2020-08-07
USW00014739,"BOSTON, MA US",8/8/2020,0.0,70.0,78,66,2020-08-08
USW00014739,"BOSTON, MA US",8/9/2020,0.0,76.0,91,67,2020-08-09
USW00014739,"BOSTON, MA US",8/10/2020,0.0,81.0,94,72,2020-08-10
USW00014739,"BOSTON, MA US",8/11/2020,0.0,83.0,94,73,2020-08-11
USW00014739,"BOSTON, MA US",8/12/2020,0.0,81.0,93,74,2020-08-12
USW00014739,"BOSTON, MA US",8/13/2020,0.0,78.0,84,68,2020-08-13
USW00014739,"BOSTON, MA US",8/14/2020,0.0,73.0,80,68,2020-08-14
USW00014739,"BOSTON, MA US",8/15/2020,0.0,68.0,70,64,2020-08-15
USW00014739,"BOSTON, MA US",8/16/2020,0.16,67.0,71,64,2020-08-16
USW00014739,"BOSTON, MA US",8/17/2020,0.08,66.0,71,62,2020-08-17
USW00014739,"BOSTON, MA US",8/18/2020,0.16,73.0,86,66,2020-08-18
USW00014739,"BOSTON, MA US",8/19/2020,0.06,71.0,74,64,2020-08-19
USW00014739,"BOSTON, MA US",8/20/2020,0.0,69.0,81,61,2020-08-20
USW00014739,"BOSTON, MA US",8/21/2020,0.0,75.0,89,63,2020-08-21
USW00014739,"BOSTON, MA US",8/22/2020,0.0,75.0,79,70,2020-08-22
USW00014739,"BOSTON, MA US",8/23/2020,1.33,73.0,89,66,2020-08-23
USW00014739,"BOSTON, MA US",8/24/2020,0.0,75.0,87,67,2020-08-24
USW00014739,"BOSTON, MA US",8/25/2020,0.0,79.0,89,68,2020-08-25
USW00014739,"BOSTON, MA US",8/26/2020,0.0,69.0,75,61,2020-08-26
USW00014739,"BOSTON, MA US",8/27/2020,0.18,64.0,66,60,2020-08-27
USW00014739,"BOSTON, MA US",8/28/2020,0.0,68.0,82,61,2020-08-28
USW00014739,"BOSTON, MA US",8/29/2020,0.07,70.0,76,65,2020-08-29
USW00014739,"BOSTON, MA US",8/30/2020,0.0,72.0,77,63,2020-08-30
USW00014739,"BOSTON, MA US",8/31/2020,0.0,63.0,71,58,2020-08-31
